Sel.;Produto;Derivação;Descrição;Custo Variável;Custo Direto Fixo;CIF;Custo Total;UM;Origem Valor;Obs.
1;2002000017;LILAS;PEMD 8,000 KG - LILAS;72,442464;0;0;72,442464;UN;Calculado;
1;2002000017;LIMAO;PEMD 8,000 KG - VERDE LIMAO;78,638936;0;0;78,638936;UN;Calculado;
1;2002000017;VERDE;PEMD 8,000 KG - VERDE;71,115216;0;0;71,115216;UN;Calculado;
1;2002000017;VERMELH;PEMD 8,000 KG - VERMELHO;71,824728;0;0;71,824728;UN;Calculado;
1;2002000018;AMARELO;PEMD 9,000 KG - AMARELO;80,986293;0;0;80,986293;UN;Calculado;
1;2002000018;AZUL;PEMD 9,000 KG - AZUL;83,410128;0;0;83,410128;UN;Calculado;
1;2002000018;CINZA;PEMD 9,000 KG - CINZA;80,135046;0;0;80,135046;UN;Calculado;
1;2002000018;COLORID;PEMD 9,000 KG - COLORIDA;83,237166;0;0;83,237166;UN;Calculado;
1;2002000018;LARANJA;PEMD 9,000 KG - LARANJA;82,048545;0;0;82,048545;UN;Calculado;
1;2002000018;LILAS;PEMD 9,000 KG - LILAS;81,497772;0;0;81,497772;UN;Calculado;
1;2002000018;LIMAO;PEMD 9,000 KG - VERDE LIMAO;88,468803;0;0;88,468803;UN;Calculado;
1;2002000018;VERDE;PEMD 9,000 KG - VERDE;80,004618;0;0;80,004618;UN;Calculado;
1;2002000018;VERMELH;PEMD 9,000 KG - VERMELHO;80,802819;0;0;80,802819;UN;Calculado;
1;2002000019;AMARELO;PEMD 10,000 KG - AMARELO;89,98477;0;0;89,98477;UN;Calculado;
1;2002000019;AZUL;PEMD 10,000 KG - AZUL;92,67792;0;0;92,67792;UN;Calculado;
1;2002000019;CINZA;PEMD 10,000 KG - CINZA;89,03894;0;0;89,03894;UN;Calculado;
1;2002000019;COLORID;PEMD 10,000 KG - COLORIDA;92,48574;0;0;92,48574;UN;Calculado;
1;2002000019;LARANJA;PEMD 10,000 KG - LARANJA;91,16505;0;0;91,16505;UN;Calculado;
1;2002000019;LILAS;PEMD 10,000 KG - LILAS;90,55308;0;0;90,55308;UN;Calculado;
1;2002000019;LIMAO;PEMD 10,000 KG - VERDE LIMAO;98,29867;0;0;98,29867;UN;Calculado;
1;2002000019;VERDE;PEMD 10,000 KG - VERDE;88,89402;0;0;88,89402;UN;Calculado;
1;2002000019;VERMELH;PEMD 10,000 KG - VERMELHO;89,78091;0;0;89,78091;UN;Calculado;
1;2002000020;AMARELO;PEMD 12,300 KG - AMARELO;110,6812671;0;0;110,6812671;UN;Calculado;
1;2002000020;AZUL;PEMD 12,300 KG - AZUL;113,9938416;0;0;113,9938416;UN;Calculado;
1;2002000020;CINZA;PEMD 12,300 KG - CINZA;109,5178962;0;0;109,5178962;UN;Calculado;
1;2002000020;COLORID;PEMD 12,300 KG - COLORIDA;113,7574602;0;0;113,7574602;UN;Calculado;
1;2002000020;LARANJA;PEMD 12,300 KG - LARANJA;112,1330115;0;0;112,1330115;UN;Calculado;
1;2002000020;LILAS;PEMD 12,300 KG - LILAS;111,3802884;0;0;111,3802884;UN;Calculado;
1;2002000020;LIMAO;PEMD 12,300 KG - VERDE LIMAO;120,9073641;0;0;120,9073641;UN;Calculado;
1;2002000020;VERDE;PEMD 12,300 KG - VERDE;109,3396446;0;0;109,3396446;UN;Calculado;
1;2002000020;VERMELH;PEMD 12,300 KG - VERMELHO;110,4305193;0;0;110,4305193;UN;Calculado;
1;2002000021;AMARELO;PEMD 13,000 KG - AMARELO;116,980201;0;0;116,980201;UN;Calculado;
1;2002000021;AZUL;PEMD 13,000 KG - AZUL;120,481296;0;0;120,481296;UN;Calculado;
1;2002000021;CINZA;PEMD 13,000 KG - CINZA;115,750622;0;0;115,750622;UN;Calculado;
1;2002000021;COLORID;PEMD 13,000 KG - COLORIDA;120,231462;0;0;120,231462;UN;Calculado;
1;2002000021;LARANJA;PEMD 13,000 KG - LARANJA;118,514565;0;0;118,514565;UN;Calculado;
1;2002000021;LILAS;PEMD 13,000 KG - LILAS;117,719004;0;0;117,719004;UN;Calculado;
1;2002000021;LIMAO;PEMD 13,000 KG - VERDE LIMAO;127,788271;0;0;127,788271;UN;Calculado;
1;2002000021;VERDE;PEMD 13,000 KG - VERDE;115,562226;0;0;115,562226;UN;Calculado;
1;2002000021;VERMELH;PEMD 13,000 KG - VERMELHO;116,715183;0;0;116,715183;UN;Calculado;
1;2002000022;AMARELO;PEMD 14,000 KG - AMARELO;125,978678;0;0;125,978678;UN;Calculado;
1;2002000022;AZUL;PEMD 14,000 KG - AZUL;129,749088;0;0;129,749088;UN;Calculado;
1;2002000022;CINZA;PEMD 14,000 KG - CINZA;124,654516;0;0;124,654516;UN;Calculado;
1;2002000022;COLORID;PEMD 14,000 KG - COLORIDA;129,480036;0;0;129,480036;UN;Calculado;
